Especie;FechaAnillamiento;Cod_Localidad;Localidad;Municipio;Provincia;LatitudGrados;LatitudMinutos;CuadranteLatitud;LongitudGrados;LongitudMinutos;CuadranteLongitud;CentroR;AnillaR;InfoAnillaR;AmpliacionAnillaR;Verificacion;EspecieR;SexoR;EdadR;FechaRecuperacion;Cod_LocalidadR;LocalidadR;MunicipioR;ProvinciaR;LatitudGradosR;LatitudMinutosR;CuadranteLatitudR;LongitudGradosR;LongitudMinutosR;CuadranteLongitudR;
1610;4/6/89;SV5113;BORRINGESJON;BORRINGESJON;MALMOHUS;55;29;N;13;20;E;SVS;.9232459;4;        ;0;0;U;0;1/6/14;ES631228;EL ROCIO;EL ROCIO;HUELVA;37;15;N;6;18;W;
1890;8/10/09;ES66184;CA„ADA DE LOS PAJAROS;LA PUEBLA DEL RIO;SEVILLA;37;6;N;6;9;W;ESI;.6018868;4;        ;0;1980;F;4;26/10/10;ES66184;CA„ADA DE LOS PAJAROS;LA PUEBLA DEL RIO;SEVILLA;37;6;N;6;9;W;
1950;2/2/09;ES66184;Localidad confidencial;;;0;0; ;0;0; ;ESI;.6125036;4;        ;0;1950;M;4;26/10/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;
1950;2/2/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;ESI;.6125312;4;        ;0;1950;M;4;16/3/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;
1950;2/2/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;ESI;.6125313;4;        ;0;1950;M;4;27/7/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;
1860;13/9/06;ES66184;CA„ADA DE LOS PAJAROS;LA PUEBLA DEL RIO;SEVILLA;37;6;N;6;9;W;ESI;.7084525;4;        ;0;1860;M;4;2/12/10;ES66184;CA„ADA DE LOS PAJAROS;LA PUEBLA DEL RIO;SEVILLA;37;6;N;6;9;W;
1950;2/2/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;ESI;.6183138;4;        ;0;1950;F;4;27/7/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;
1950;2/2/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;ESI;.6183140;4;        ;0;1950;F;5;16/3/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;
1950;2/2/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;ESI;.6183140;4;        ;0;1950;F;4;27/7/10;ES66184;Localidad confidencial;;;0;0; ;0;0; ;
1860;16/5/07;ES301137;DELTA DEL LLOBREGAT;VILADECANS;BARCELONA;41;18;N;2;1;E;ESI;.7050974;4;        ;0;1860;U;0;2/5/10;ES30459;SANT BOI DE LLOBREGAT;SANT BOI DE LLOBREGAT;BARCELONA;41;20;N;2;2;E;
